host_chr	host_pos	host_strand	virus_chr	virus_pos	virus_strand	support_reads	sample
chr1	3842092	*	HBV	518	-	590	T
chr1	7133316	*	HBV	1970	-	214	T
chr1	10294945	*	HBV	2552	-	57	T
chr1	18566973	*	HBV	559	-	29	N
chr1	23118463	*	HBV	2901	-	84	T
chr1	26648600	*	HBV	1756	+	8	T
chr1	45226038	*	HBV	2913	+	29	N
chr1	45473327	*	HBV	2898	-	153	T
chr1	45992449	*	HBV	2843	+	49	T
chr1	48067825	*	HBV	2046	-	75	N
chr1	49785388	*	HBV	1886	-	51	N
chr1	50721820	*	HBV	1927	-	45	T
chr1	78175974	*	HBV	1982	-	54	N
chr1	83179531	*	HBV	2397	-	125	N
chr1	83585368	*	HBV	958	-	87	T
chr1	83704072	*	HBV	3121	-	65	T
chr1	83848550	*	HBV	2205	-	59	T
chr1	84673058	*	HBV	1173	-	61	T
chr1	85648462	*	HBV	1225	-	281	T
chr1	86225993	*	HBV	2184	-	45	T
chr1	87384787	*	HBV	49	-	30	T
chr1	89199412	*	HBV	1591	-	18	T
chr1	90633615	*	HBV	1706	+	6	N
chr1	100563675	*	HBV	1394	-	11	N
chr1	109747546	*	HBV	1782	-	37	T
chr1	124637792	*	HBV	844	+	64	N
chr1	141452885	*	HBV	472	-	22	N
chr1	144422040	*	HBV	1288	-	12	N
chr1	155118734	*	HBV	1382	-	29	N
chr1	159885440	*	HBV	351	-	147	N
chr1	164559380	*	HBV	1321	-	109	T
chr1	164693411	*	HBV	1064	-	16	N
chr1	164901428	*	HBV	1811	-	34	T
chr1	166774660	*	HBV	545	+	175	N
chr1	167582702	*	HBV	977	+	28	T
chr1	168606311	*	HBV	2558	-	75	T
chr1	171686486	*	HBV	2910	+	25	N
chr1	175335638	*	HBV	400	-	50	T
chr1	177867590	*	HBV	1374	-	129	N
chr1	178075217	*	HBV	606	+	340	N
chr1	238097766	*	HBV	671	+	379	N
chr1	242519603	*	HBV	2916	-	60	N
chr1	245256506	*	HBV	1698	-	55	N
chr2	5532632	*	HBV	2517	+	21	N
chr2	16440125	*	HBV	1490	-	100	T
chr2	26871863	*	HBV	2277	-	103	T
chr2	32914268	*	HBV	2734	-	241	N
chr2	45572314	*	HBV	354	-	68	T
chr2	56086095	*	HBV	1802	-	180	N
chr2	56723476	*	HBV	2333	+	44	T
chr2	58271436	*	HBV	2750	-	40	T
chr2	62130457	*	HBV	2572	-	41	T
chr2	66805803	*	HBV	2010	+	152	T
chr2	67231608	*	HBV	875	-	55	T
chr2	68070010	*	HBV	1210	-	31	T
chr2	68500877	*	HBV	757	-	222	T
chr2	68742876	*	HBV	2395	-	31	N
chr2	69635004	*	HBV	1761	-	51	N
chr2	70387972	*	HBV	2554	-	84	T
chr2	71099169	*	HBV	390	-	341	N
chr2	72105243	*	HBV	1005	-	39	T
chr2	72550459	*	HBV	1771	-	148	N
chr2	73512207	*	HBV	580	-	276	N
chr2	73694407	*	HBV	2946	+	442	N
chr2	73943128	*	HBV	1935	-	9	N
chr2	78180808	*	HBV	1743	-	13	T
chr2	83963653	*	HBV	974	+	9	N
chr2	96461411	*	HBV	815	+	5	N
chr2	97228277	*	HBV	2455	+	59	T
chr2	100585146	*	HBV	3037	+	166	N
chr2	101700500	*	HBV	2620	-	189	N
chr2	102884122	*	HBV	1985	-	195	T
chr2	103393004	*	HBV	678	+	25	N
chr2	103714961	*	HBV	911	-	147	N
chr2	104058654	*	HBV	1562	+	406	N
chr2	104374693	*	HBV	1224	+	20	T
chr2	105196841	*	HBV	1881	-	33	T
chr2	106036486	*	HBV	489	+	63	N
chr2	107057919	*	HBV	1736	-	124	T
chr2	108078426	*	HBV	3069	+	70	T
chr2	121173327	*	HBV	2688	-	74	N
chr2	130051135	*	HBV	424	-	79	N
chr2	136223161	*	HBV	901	+	27	T
chr2	138946696	*	HBV	1530	-	147	T
