host_chr	host_pos	host_strand	virus_chr	virus_pos	virus_strand	support_reads	sample
1	14679192	*	HBV	826	-	49	T
1	162869909	*	HBV	1300	-	84	N
10	42400679	*	HBV	2994	+	52	T
11	68599749	*	HBV	2966	-	11	T
11	87245544	*	HBV	157	-	77	T
14	95128373	*	HBV	360	+	171	N
15	84807114	*	HBV	384	-	61	N
19	40907243	*	HBV	1829	+	82	T
2	62717949	*	HBV	1814	+	1057	T
2	88051903	*	HBV	708	-	64	T
21	28630875	*	HBV	700	+	70	T
3	120625203	*	HBV	2587	-	125	T
3	164597263	*	HBV	425	-	95	T
3	164992704	*	HBV	2821	-	82	T
3	169454093	*	HBV	3074	+	68	T
5	32251369	*	HBV	2145	-	14	T
X	31922494	*	HBV	1768	+	144	T
X	93254083	*	HBV	1493	-	132	N
1	161046614	*	HBV	536	-	106	N
1	185096616	*	HBV	2128	+	45	N
1	203520276	*	HBV	1759	-	37	N
1	229446173	*	HBV	2966	-	11	T
1	48909387	*	HBV	133	-	80	T
12	59436898	*	HBV	2891	+	131	N
15	65010145	*	HBV	315	+	160	N
15	84140049	*	HBV	353	-	126	T
19	36222412	*	HBV	1764	+	313	T
19	7186276	*	HBV	2198	-	35	T
2	62718929	*	HBV	1493	-	787	T
2	155338509	*	HBV	2938	+	80	N
2	62717822	*	HBV	1775	+	57	N
2	62717906	*	HBV	1814	+	128	N
2	87244674	*	HBV	708	-	72	N
3	120625193	*	HBV	2587	-	125	N
3	123207449	*	HBV	682	-	62	N
3	182901991	*	HBV	2966	-	12	N
3	24157583	*	HBV	2966	-	12	N
4	176623853	*	HBV	2966	-	12	N
4	49282877	*	HBV	94	-	11	N
5	75917294	*	HBV	535	+	247	T
5	75917326	*	HBV	535	+	249	T
7	127555945	*	HBV	2726	-	78	N
7	92571278	*	HBV	350	-	50	N
8	101643875	*	HBV	1814	+	33	N
8	130907491	*	HBV	163	-	37	N
8	59952698	*	HBV	2145	-	14	N
9	133627810	*	HBV	133	-	170	T
9	72653115	*	HBV	2331	+	20	T
X	20225018	*	HBV	3132	-	193	N
